02 Token Inválido
28 Token Inválido
26 Token Inválido
2024-02-11 12:00:10.480910 - 22 Token Inválido
2024-03-19 12:00:05.022207 - 57 Token Inválido
2024-03-26 18:00:05.490185 - 02 Token Inválido
2024-04-05 21:00:05.127559 - 32 Token Inválido
2024-04-23 12:00:04.760328 - 56 Token Inválido
2024-04-24 09:00:11.188902 - 14 Token Inválido
2024-05-03 12:00:11.758007 - \\192.42.103.17\propaganda\publicador_facebook\img\img25.png não foi encontrada
2024-05-03 18:00:03.918764 - \\192.42.103.17\propaganda\publicador_facebook\img\img07.png não foi encontrada
2024-05-03 21:00:04.164652 - \\192.42.103.17\propaganda\publicador_facebook\img\img17.png não foi encontrada
2024-05-04 09:00:11.448441 - \\192.42.103.17\propaganda\publicador_facebook\img\img26.png não foi encontrada
2024-05-04 12:00:05.283649 - \\192.42.103.17\propaganda\publicador_facebook\img\img08.png não foi encontrada
2024-05-04 18:00:03.994956 - \\192.42.103.17\propaganda\publicador_facebook\img\img18.png não foi encontrada
2024-05-04 21:00:04.939159 - \\192.42.103.17\propaganda\publicador_facebook\img\img27.png não foi encontrada
2024-05-05 09:00:11.527967 - \\192.42.103.17\propaganda\publicador_facebook\img\img09.png não foi encontrada
2024-05-05 12:00:08.338474 - \\192.42.103.17\propaganda\publicador_facebook\img\img19.png não foi encontrada
2024-05-05 18:00:05.927208 - \\192.42.103.17\propaganda\publicador_facebook\img\img28.png não foi encontrada
2024-05-05 21:00:04.547192 - \\192.42.103.17\propaganda\publicador_facebook\img\img10.png não foi encontrada
2024-05-06 09:00:10.537390 - \\192.42.103.17\propaganda\publicador_facebook\img\img01.png não foi encontrada
2024-05-06 12:00:04.886154 - \\192.42.103.17\propaganda\publicador_facebook\img\img11.png não foi encontrada
2024-05-06 18:00:05.820076 - \\192.42.103.17\propaganda\publicador_facebook\img\img20.png não foi encontrada
2024-05-06 21:00:04.762537 - \\192.42.103.17\propaganda\publicador_facebook\img\img02.png não foi encontrada
2024-05-07 09:00:12.224641 - \\192.42.103.17\propaganda\publicador_facebook\img\img12.png não foi encontrada
2024-05-07 12:00:04.207111 - \\192.42.103.17\propaganda\publicador_facebook\img\img21.png não foi encontrada
2024-05-07 18:00:04.791722 - \\192.42.103.17\propaganda\publicador_facebook\img\img03.png não foi encontrada
2024-05-07 21:00:05.268011 - \\192.42.103.17\propaganda\publicador_facebook\img\img13.png não foi encontrada
2024-05-08 09:00:10.753115 - \\192.42.103.17\propaganda\publicador_facebook\img\img22.png não foi encontrada
2024-05-08 12:00:04.024728 - \\192.42.103.17\propaganda\publicador_facebook\img\img04.png não foi encontrada
2024-05-08 18:00:04.270679 - \\192.42.103.17\propaganda\publicador_facebook\img\img14.png não foi encontrada
2024-05-08 21:00:04.579097 - \\192.42.103.17\propaganda\publicador_facebook\img\img23.png não foi encontrada
2024-05-09 09:00:09.483232 - \\192.42.103.17\propaganda\publicador_facebook\img\img05.png não foi encontrada
2024-05-09 12:00:04.622387 - \\192.42.103.17\propaganda\publicador_facebook\img\img15.png não foi encontrada
2024-05-09 18:00:03.889706 - \\192.42.103.17\propaganda\publicador_facebook\img\img24.png não foi encontrada
2024-05-09 21:00:04.085010 - \\192.42.103.17\propaganda\publicador_facebook\img\img06.png não foi encontrada
2024-05-10 09:00:09.404122 - \\192.42.103.17\propaganda\publicador_facebook\img\img16.png não foi encontrada
2024-05-10 12:00:13.820764 - \\192.42.103.17\propaganda\publicador_facebook\img\img25.png não foi encontrada
2024-05-10 18:00:04.461118 - \\192.42.103.17\propaganda\publicador_facebook\img\img07.png não foi encontrada
2024-05-10 21:00:04.269646 - \\192.42.103.17\propaganda\publicador_facebook\img\img17.png não foi encontrada
2024-05-11 09:00:10.505430 - \\192.42.103.17\propaganda\publicador_facebook\img\img26.png não foi encontrada
2024-05-11 12:00:04.752230 - \\192.42.103.17\propaganda\publicador_facebook\img\img08.png não foi encontrada
2024-05-11 18:00:05.480139 - \\192.42.103.17\propaganda\publicador_facebook\img\img18.png não foi encontrada
2024-05-11 21:00:05.021461 - \\192.42.103.17\propaganda\publicador_facebook\img\img27.png não foi encontrada
2024-05-12 09:00:10.685420 - \\192.42.103.17\propaganda\publicador_facebook\img\img09.png não foi encontrada
2024-05-12 12:00:07.799218 - \\192.42.103.17\propaganda\publicador_facebook\img\img19.png não foi encontrada
2024-05-12 18:00:06.000175 - \\192.42.103.17\propaganda\publicador_facebook\img\img28.png não foi encontrada
2024-05-12 21:00:05.444271 - \\192.42.103.17\propaganda\publicador_facebook\img\img10.png não foi encontrada
2024-05-13 09:00:09.507600 - \\192.42.103.17\propaganda\publicador_facebook\img\img01.png não foi encontrada
2024-05-13 12:00:04.363403 - \\192.42.103.17\propaganda\publicador_facebook\img\img11.png não foi encontrada
2024-05-13 18:00:05.451988 - \\192.42.103.17\propaganda\publicador_facebook\img\img20.png não foi encontrada
2024-05-13 21:00:04.483627 - \\192.42.103.17\propaganda\publicador_facebook\img\img02.png não foi encontrada
2024-05-14 09:00:19.971791 - \\192.42.103.17\propaganda\publicador_facebook\img\img12.png não foi encontrada
2024-05-14 12:00:05.220402 - \\192.42.103.17\propaganda\publicador_facebook\img\img21.png não foi encontrada
2024-05-14 18:00:05.847955 - \\192.42.103.17\propaganda\publicador_facebook\img\img03.png não foi encontrada
2024-05-14 21:00:05.987055 - \\192.42.103.17\propaganda\publicador_facebook\img\img13.png não foi encontrada
2024-05-15 09:00:15.946077 - \\192.42.103.17\propaganda\publicador_facebook\img\img22.png não foi encontrada
2024-05-15 12:00:04.266119 - \\192.42.103.17\propaganda\publicador_facebook\img\img04.png não foi encontrada
2024-05-15 18:00:04.015786 - \\192.42.103.17\propaganda\publicador_facebook\img\img14.png não foi encontrada
2024-05-15 21:00:04.008944 - \\192.42.103.17\propaganda\publicador_facebook\img\img23.png não foi encontrada
2024-05-16 09:00:09.426808 - \\192.42.103.17\propaganda\publicador_facebook\img\img05.png não foi encontrada
2024-05-16 12:00:04.943742 - \\192.42.103.17\propaganda\publicador_facebook\img\img15.png não foi encontrada
2024-05-16 18:00:04.577600 - \\192.42.103.17\propaganda\publicador_facebook\img\img24.png não foi encontrada
2024-05-16 21:00:03.861100 - \\192.42.103.17\propaganda\publicador_facebook\img\img06.png não foi encontrada
2024-05-17 09:00:09.555581 - \\192.42.103.17\propaganda\publicador_facebook\img\img16.png não foi encontrada
2024-05-17 12:00:11.212391 - \\192.42.103.17\propaganda\publicador_facebook\img\img25.png não foi encontrada
2024-05-17 18:00:04.272539 - \\192.42.103.17\propaganda\publicador_facebook\img\img07.png não foi encontrada
2024-05-17 21:00:04.866811 - \\192.42.103.17\propaganda\publicador_facebook\img\img17.png não foi encontrada
2024-05-18 09:00:11.457752 - \\192.42.103.17\propaganda\publicador_facebook\img\img26.png não foi encontrada
2024-05-18 12:00:05.205634 - \\192.42.103.17\propaganda\publicador_facebook\img\img08.png não foi encontrada
2024-05-18 18:00:04.359718 - \\192.42.103.17\propaganda\publicador_facebook\img\img18.png não foi encontrada
2024-05-18 21:00:04.207983 - \\192.42.103.17\propaganda\publicador_facebook\img\img27.png não foi encontrada
2024-05-19 09:00:10.115859 - \\192.42.103.17\propaganda\publicador_facebook\img\img09.png não foi encontrada
2024-05-19 12:00:07.563066 - \\192.42.103.17\propaganda\publicador_facebook\img\img19.png não foi encontrada
2024-05-19 18:00:06.619988 - \\192.42.103.17\propaganda\publicador_facebook\img\img28.png não foi encontrada
2024-05-19 21:00:04.575385 - \\192.42.103.17\propaganda\publicador_facebook\img\img10.png não foi encontrada
2024-05-20 09:00:09.034030 - \\192.42.103.17\propaganda\publicador_facebook\img\img01.png não foi encontrada
2024-05-20 12:00:04.445380 - \\192.42.103.17\propaganda\publicador_facebook\img\img11.png não foi encontrada
2024-05-20 18:00:06.776218 - \\192.42.103.17\propaganda\publicador_facebook\img\img20.png não foi encontrada
2024-05-20 21:00:04.684541 - \\192.42.103.17\propaganda\publicador_facebook\img\img02.png não foi encontrada
2024-05-21 09:00:18.151829 - \\192.42.103.17\propaganda\publicador_facebook\img\img12.png não foi encontrada
2024-05-21 12:00:05.566897 - \\192.42.103.17\propaganda\publicador_facebook\img\img21.png não foi encontrada
2024-05-21 18:00:05.302950 - \\192.42.103.17\propaganda\publicador_facebook\img\img03.png não foi encontrada
2024-05-21 21:00:05.146825 - \\192.42.103.17\propaganda\publicador_facebook\img\img13.png não foi encontrada
2024-05-22 09:00:10.015407 - \\192.42.103.17\propaganda\publicador_facebook\img\img22.png não foi encontrada
2024-05-22 12:00:04.312880 - \\192.42.103.17\propaganda\publicador_facebook\img\img04.png não foi encontrada
2024-05-22 18:00:04.111364 - \\192.42.103.17\propaganda\publicador_facebook\img\img14.png não foi encontrada
2024-05-22 21:00:04.029166 - \\192.42.103.17\propaganda\publicador_facebook\img\img23.png não foi encontrada
